,NOC,Year,Season,Host,athlete_count_x,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,athlete_count_y,olympic_total,medal_share,athlete_share
0,AFG,1960,Summer,0,13,8996967.0,1326.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0024658573596358117
1,ARG,1960,Summer,0,78,20481781.0,8861.0,0.0,1.0,1.0,2.0,5272,297.0,0.006734006734006734,0.01479514415781487
2,AUS,1960,Summer,0,201,10276477.0,14013.0,8.0,8.0,6.0,22.0,5272,297.0,0.07407407407407407,0.03812594840667678
3,AUT,1960,Summer,0,161,7047539.0,10391.0,1.0,1.0,0.0,2.0,5272,297.0,0.006734006734006734,0.030538694992412747
4,BEL,1960,Summer,0,103,9153489.0,11081.0,0.0,2.0,2.0,4.0,5272,297.0,0.013468013468013467,0.019537177541729893
5,BRA,1960,Summer,0,52,72179235.0,3398.0,0.0,0.0,2.0,2.0,5272,297.0,0.006734006734006734,0.009863429438543247
6,BUL,1960,Summer,0,151,7867374.0,4642.0,1.0,3.0,3.0,7.0,5272,297.0,0.02356902356902357,0.028641881638846737
7,CAN,1960,Summer,0,114,17909009.0,13952.0,0.0,1.0,0.0,1.0,5272,297.0,0.003367003367003367,0.021623672230652504
8,CHI,1960,Summer,0,9,109419.0,6781.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0017071320182094083
9,CHI,1960,Summer,0,9,8132988.0,6781.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0017071320182094083
10,COL,1960,Summer,0,20,16057714.0,3980.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0037936267071320183
11,CUB,1960,Summer,0,20,7141241.0,2994.0,0.0,0.0,0.0,0.0,5272,297.0,0.0,0.0037936267071320183
12,DEN,1960,Summer,0,65,4579603.0,14046.0,2.0,3.0,1.0,6.0,5272,297.0,0.020202020202020204,0.01232928679817906
13,ESP,1960,Summer,0,191,30455000.0,5037.0,0.0,0.0,1.0,1.0,5272,297.0,0.003367003367003367,0.036229135053110775
14,ETH,1960,Summer,0,12,22151284.0,701.0,1.0,0.0,0.0,1.0,5272,297.0,0.003367003367003367,0.002276176024279211
15,FIN,1960,Summer,0,180,4429634.0,9931.0,1.0,1.0,3.0,5.0,5272,297.0,0.016835016835016835,0.03414264036418816
16,FRA,1960,Summer,0,256,46621688.0,11792.0,0.0,2.0,3.0,5.0,5272,297.0,0.016835016835016835,0.048558421851289835
