,Unnamed: 0,NOC,Year,Season,Host,athlete_count,Population,GDP per capita,Gold,Silver,Bronze,Total
3,3,AFG,1960,Summer,0,13,8996967.0,1326.0,0.0,0.0,0.0,0.0
4,4,AFG,1964,Summer,0,8,9744772.0,1291.0,0.0,0.0,0.0,0.0
5,5,AFG,1968,Summer,0,5,10637064.0,1290.0,0.0,0.0,0.0,0.0
6,6,AFG,1972,Summer,0,8,11791222.0,1007.0,0.0,0.0,0.0,0.0
7,7,AFG,1980,Summer,0,11,13356500.0,1019.0,0.0,0.0,0.0,0.0
8,8,AFG,1988,Summer,0,5,11618008.0,1101.0,0.0,0.0,0.0,0.0
9,9,AFG,1996,Summer,0,2,18853444.0,600.18,0.0,0.0,0.0,0.0
10,10,AFG,2004,Summer,0,5,24726689.0,869.04,0.0,0.0,0.0,0.0
11,11,AFG,2008,Summer,0,4,27722281.0,1319.61,0.0,0.0,1.0,1.0
12,12,AFG,2012,Summer,0,6,31161378.0,1945.0,0.0,0.0,1.0,1.0
13,13,AFG,2016,Summer,0,3,35383028.0,1929.0,0.0,0.0,0.0,0.0
29,29,ALB,1972,Summer,0,5,2243126.0,3451.0,0.0,0.0,0.0,0.0
30,30,ALB,1992,Summer,0,9,3247039.0,2841.77,0.0,0.0,0.0,0.0
31,31,ALB,1996,Summer,0,9,3168033.0,3965.69,0.0,0.0,0.0,0.0
32,32,ALB,2000,Summer,0,5,3089027.0,4808.48,0.0,0.0,0.0,0.0
33,33,ALB,2004,Summer,0,7,3026939.0,6419.87,0.0,0.0,0.0,0.0
34,34,ALB,2006,Winter,0,3,2992547.0,7347.33,0.0,0.0,0.0,0.0
35,35,ALB,2008,Summer,0,12,2947314.0,8522.13,0.0,0.0,0.0,0.0
36,36,ALB,2010,Winter,0,2,2913021.0,9222.97,0.0,0.0,0.0,0.0
37,37,ALB,2012,Summer,0,10,2900401.0,9592.0,0.0,0.0,0.0,0.0
38,38,ALB,2014,Winter,0,2,2889104.0,9808.0,0.0,0.0,0.0,0.0
39,39,ALB,2016,Summer,0,6,2876101.0,10342.0,0.0,0.0,0.0,0.0
40,40,ALG,1964,Summer,0,7,12221675.0,2879.0,0.0,0.0,0.0,0.0
41,41,ALG,1968,Summer,0,9,13663581.0,3151.0,0.0,0.0,0.0,0.0
42,42,ALG,1972,Summer,0,7,15285992.0,3746.0,0.0,0.0,0.0,0.0
43,43,ALG,1980,Summer,0,34,19221659.0,5024.0,0.0,0.0,0.0,0.0
44,44,ALG,1984,Summer,0,19,21763578.0,5361.0,0.0,0.0,2.0,2.0
45,45,ALG,1988,Summer,0,32,24443472.0,4850.0,0.0,0.0,0.0,0.0
46,46,ALG,1992,Summer,0,27,27028330.0,4850.22,1.0,0.0,1.0,2.0
47,47,ALG,1992,Winter,0,8,27028330.0,4850.22,0.0,0.0,0.0,0.0
48,48,ALG,1996,Summer,0,32,29266415.0,5451.63,2.0,0.0,1.0,3.0
49,49,ALG,2000,Summer,0,47,31042238.0,6834.55,1.0,1.0,3.0,5.0
50,50,ALG,2004,Summer,0,67,32692153.0,9182.29,0.0,0.0,0.0,0.0
51,51,ALG,2006,Winter,0,3,33641007.0,10385.78,0.0,0.0,0.0,0.0
52,52,ALG,2008,Summer,0,48,34730604.0,11475.0,0.0,1.0,1.0,2.0
53,53,ALG,2010,Winter,0,1,35977451.0,12587.74,0.0,0.0,0.0,0.0
54,54,ALG,2012,Summer,0,29,37383899.0,13379.0,1.0,0.0,0.0,1.0
55,55,ALG,2016,Summer,0,57,40551398.0,14331.0,0.0,2.0,0.0,2.0
78,78,ANG,1980,Summer,0,14,8341290.0,1532.0,0.0,0.0,0.0,0.0
79,79,ANG,1988,Summer,0,33,11068051.0,1360.0,0.0,0.0,0.0,0.0
80,80,ANG,1992,Summer,0,32,12657361.0,1389.33,0.0,0.0,0.0,0.0
81,81,ANG,1996,Summer,0,18,14400722.0,1533.98,0.0,0.0,0.0,0.0
82,82,ANG,2000,Summer,0,18,16395477.0,2013.64,0.0,0.0,0.0,0.0
83,83,ANG,2004,Summer,0,16,18758138.0,3064.3,0.0,0.0,0.0,0.0
84,84,ANG,2008,Summer,0,19,21695636.0,6743.75,0.0,0.0,0.0,0.0
85,85,ANG,2012,Summer,0,21,25107925.0,8190.0,0.0,0.0,0.0,0.0
86,86,ANG,2016,Summer,0,11,28842482.0,8453.0,0.0,0.0,0.0,0.0
112,112,ARG,1960,Summer,0,78,20481781.0,8861.0,0.0,1.0,1.0,2.0
113,113,ARG,1960,Winter,0,14,20481781.0,8861.0,0.0,0.0,0.0,0.0
114,114,ARG,1964,Summer,0,104,21824427.0,9446.0,0.0,1.0,0.0,1.0
115,115,ARG,1964,Winter,0,15,21824427.0,9446.0,0.0,0.0,0.0,0.0
116,116,ARG,1968,Summer,0,87,23168268.0,10485.0,0.0,0.0,2.0,2.0
117,117,ARG,1968,Winter,0,12,23168268.0,10485.0,0.0,0.0,0.0,0.0
118,118,ARG,1972,Summer,0,92,24653172.0,12170.0,0.0,1.0,0.0,1.0
119,119,ARG,1972,Winter,0,6,24653172.0,12170.0,0.0,0.0,0.0,0.0
120,120,ARG,1976,Summer,0,66,26264681.0,12696.0,0.0,0.0,0.0,0.0
121,121,ARG,1976,Winter,0,16,26264681.0,12696.0,0.0,0.0,0.0,0.0
122,122,ARG,1980,Winter,0,23,27896532.0,13080.0,0.0,0.0,0.0,0.0
123,123,ARG,1984,Summer,0,90,29737097.0,11837.0,0.0,0.0,0.0,0.0
124,124,ARG,1984,Winter,0,34,29737097.0,11837.0,0.0,0.0,0.0,0.0
125,125,ARG,1988,Summer,0,67,31668939.0,11244.0,0.0,1.0,1.0,2.0
126,126,ARG,1988,Winter,0,45,31668939.0,11244.0,0.0,0.0,0.0,0.0
127,127,ARG,1992,Summer,0,84,33529320.0,12267.08,0.0,0.0,1.0,1.0
128,128,ARG,1992,Winter,0,46,33529320.0,12267.08,0.0,0.0,0.0,0.0
129,129,ARG,1994,Winter,0,20,34402669.0,13571.38,0.0,0.0,0.0,0.0
130,130,ARG,1996,Summer,0,135,35246376.0,13715.23,0.0,2.0,1.0,3.0
131,131,ARG,1998,Winter,0,6,36063451.0,15185.96,0.0,0.0,0.0,0.0
132,132,ARG,2000,Summer,0,108,36870796.0,14368.94,0.0,2.0,2.0,4.0
133,133,ARG,2002,Winter,0,26,37681743.0,12094.77,0.0,0.0,0.0,0.0
134,134,ARG,2004,Summer,0,112,38491970.0,14183.23,2.0,0.0,4.0,6.0
135,135,ARG,2006,Winter,0,17,39289876.0,16490.47,0.0,0.0,0.0,0.0
136,136,ARG,2008,Summer,0,92,40080159.0,18520.3,2.0,0.0,4.0,6.0
137,137,ARG,2010,Winter,0,20,40788453.0,18979.99,0.0,0.0,0.0,0.0
138,138,ARG,2012,Summer,0,87,41733271.0,19599.0,1.0,1.0,2.0,4.0
139,139,ARG,2014,Winter,0,20,42669500.0,19183.0,0.0,0.0,0.0,0.0
140,140,ARG,2016,Summer,0,110,43590368.0,18875.0,3.0,1.0,0.0,4.0
141,141,ARM,1994,Winter,0,1,3283664.0,4392.98,0.0,0.0,0.0,0.0
