,index,NOC,Year,Season,Host,athlete_count,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,olympic_total,medal_share
0,3,AFG,1960,Summer,0,13,8996967.0,1326.0,0.0,0.0,0.0,0.0,297.0,0.0
1,112,ARG,1960,Summer,0,78,20481781.0,8861.0,0.0,1.0,1.0,2.0,297.0,0.006734006734006734
2,186,AUS,1960,Summer,0,201,10276477.0,14013.0,8.0,8.0,6.0,22.0,297.0,0.07407407407407407
3,236,AUT,1960,Summer,0,161,7047539.0,10391.0,1.0,1.0,0.0,2.0,297.0,0.006734006734006734
4,339,BEL,1960,Summer,0,103,9153489.0,11081.0,0.0,2.0,2.0,4.0,297.0,0.013468013468013467
5,490,BRA,1960,Summer,0,52,72179235.0,3398.0,0.0,0.0,2.0,2.0,297.0,0.006734006734006734
6,545,BUL,1960,Summer,0,151,7867374.0,4642.0,1.0,3.0,3.0,7.0,297.0,0.02356902356902357
7,622,CAN,1960,Summer,0,114,17909009.0,13952.0,0.0,1.0,0.0,1.0,297.0,0.003367003367003367
8,698,CHI,1960,Summer,0,9,109419.0,6781.0,0.0,0.0,0.0,0.0,297.0,0.0
9,699,CHI,1960,Summer,0,9,8132988.0,6781.0,0.0,0.0,0.0,0.0,297.0,0.0
10,826,COL,1960,Summer,0,20,16057714.0,3980.0,0.0,0.0,0.0,0.0,297.0,0.0
11,898,CUB,1960,Summer,0,20,7141241.0,2994.0,0.0,0.0,0.0,0.0,297.0,0.0
12,958,DEN,1960,Summer,0,65,4579603.0,14046.0,2.0,3.0,1.0,6.0,297.0,0.020202020202020204
13,1078,ESP,1960,Summer,0,191,30455000.0,5037.0,0.0,0.0,1.0,1.0,297.0,0.003367003367003367
14,1130,ETH,1960,Summer,0,12,22151284.0,701.0,1.0,0.0,0.0,1.0,297.0,0.003367003367003367
15,1181,FIN,1960,Summer,0,180,4429634.0,9931.0,1.0,1.0,3.0,5.0,297.0,0.016835016835016835
16,1232,FRA,1960,Summer,0,256,46621688.0,11792.0,0.0,2.0,3.0,5.0,297.0,0.016835016835016835
17,1318,GBR,1960,Summer,0,287,52400000.0,13780.0,2.0,6.0,12.0,20.0,297.0,0.06734006734006734
18,1402,GER,1960,Summer,0,326,72814900.0,12282.0,0.0,0.0,0.0,0.0,297.0,0.0
19,1421,GHA,1960,Summer,0,12,6635229.0,2197.0,0.0,1.0,0.0,1.0,297.0,0.003367003367003367
20,1453,GRE,1960,Summer,0,47,8331725.0,5015.0,1.0,0.0,0.0,1.0,297.0,0.003367003367003367
21,1548,HAI,1960,Summer,0,1,3866162.0,1809.0,0.0,0.0,0.0,0.0,297.0,0.0
22,1562,HKG,1960,Summer,0,4,3075605.0,5088.0,0.0,0.0,0.0,0.0,297.0,0.0
23,1612,HUN,1960,Summer,0,222,9983967.0,5816.0,6.0,8.0,7.0,21.0,297.0,0.0707070707070707
24,1643,INA,1960,Summer,0,23,87751066.0,1613.0,0.0,0.0,0.0,0.0,297.0,0.0
25,1666,IND,1960,Summer,0,26,450547675.0,1200.0,0.0,1.0,0.0,1.0,297.0,0.003367003367003367
26,1728,IRL,1960,Summer,0,54,2828600.0,6825.0,0.0,0.0,0.0,0.0,297.0,0.0
27,1750,IRQ,1960,Summer,0,25,7289753.0,4360.0,0.0,0.0,1.0,1.0,297.0,0.003367003367003367
28,1772,ISL,1960,Summer,0,11,175574.0,10959.0,0.0,0.0,0.0,0.0,297.0,0.0
29,1803,ISR,1960,Summer,0,43,2114020.0,7433.0,0.0,0.0,0.0,0.0,297.0,0.0
