Index,NOC,Year,Season,Host,CompetitorID
0,AFG,1936,Summer,0,4
1,AFG,1948,Summer,0,2
2,AFG,1956,Summer,0,1
3,AFG,1960,Summer,0,13
4,AFG,1964,Summer,0,8
5,AFG,1968,Summer,0,5
6,AFG,1972,Summer,0,8
7,AFG,1980,Summer,0,11
8,AFG,1988,Summer,0,5
9,AFG,1996,Summer,0,2
10,AFG,2004,Summer,0,5
11,AFG,2008,Summer,0,4
12,AFG,2012,Summer,0,6
13,AFG,2016,Summer,0,3
14,AHO,1952,Summer,0,1
15,AHO,1960,Summer,0,5
16,AHO,1964,Summer,0,4
17,AHO,1968,Summer,0,5
18,AHO,1972,Summer,0,2
19,AHO,1976,Summer,0,4
20,AHO,1984,Summer,0,13
21,AHO,1988,Summer,0,4
22,AHO,1988,Winter,0,2
23,AHO,1992,Summer,0,4
24,AHO,1992,Winter,0,1
25,AHO,1996,Summer,0,7
26,AHO,2000,Summer,0,8
27,AHO,2004,Summer,0,3
28,AHO,2008,Summer,0,4
29,ALB,1972,Summer,0,5
30,ALB,1992,Summer,0,9
31,ALB,1996,Summer,0,9
32,ALB,2000,Summer,0,5
33,ALB,2004,Summer,0,7
34,ALB,2006,Winter,0,3
35,ALB,2008,Summer,0,12
36,ALB,2010,Winter,0,2
37,ALB,2012,Summer,0,10
38,ALB,2014,Winter,0,2
39,ALB,2016,Summer,0,6
40,ALG,1964,Summer,0,7
41,ALG,1968,Summer,0,9
42,ALG,1972,Summer,0,7
43,ALG,1980,Summer,0,34
44,ALG,1984,Summer,0,19
45,ALG,1988,Summer,0,32
46,ALG,1992,Summer,0,27
47,ALG,1992,Winter,0,8
48,ALG,1996,Summer,0,32
49,ALG,2000,Summer,0,47
50,ALG,2004,Summer,0,67
51,ALG,2006,Winter,0,3
52,ALG,2008,Summer,0,48
53,ALG,2010,Winter,0,1
54,ALG,2012,Summer,0,29
55,ALG,2016,Summer,0,57
56,AND,1976,Summer,0,3
57,AND,1976,Winter,0,11
58,AND,1980,Summer,0,2
59,AND,1980,Winter,0,9
60,AND,1984,Summer,0,2
61,AND,1984,Winter,0,6
62,AND,1988,Summer,0,4
63,AND,1988,Winter,0,9
64,AND,1992,Summer,0,7
65,AND,1992,Winter,0,14
66,AND,1994,Winter,0,13
67,AND,1996,Summer,0,7
68,AND,1998,Winter,0,7
69,AND,2000,Summer,0,5
70,AND,2002,Winter,0,5
71,AND,2004,Summer,0,6
72,AND,2006,Winter,0,10
73,AND,2008,Summer,0,5
74,AND,2010,Winter,0,20
75,AND,2012,Summer,0,6
76,AND,2014,Winter,0,12
77,AND,2016,Summer,0,4
78,ANG,1980,Summer,0,14
79,ANG,1988,Summer,0,33
80,ANG,1992,Summer,0,32
81,ANG,1996,Summer,0,18
82,ANG,2000,Summer,0,18
83,ANG,2004,Summer,0,16
84,ANG,2008,Summer,0,19
85,ANG,2012,Summer,0,21
86,ANG,2016,Summer,0,11
87,ANT,1976,Summer,0,11
88,ANT,1984,Summer,0,18
89,ANT,1988,Summer,0,19
90,ANT,1992,Summer,0,17
91,ANT,1996,Summer,0,9
92,ANT,2000,Summer,0,4
93,ANT,2004,Summer,0,5
94,ANT,2008,Summer,0,5
95,ANT,2012,Summer,0,4
96,ANT,2016,Summer,0,6
97,ANZ,1908,Summer,0,31
98,ANZ,1912,Summer,0,35
99,ARG,1900,Summer,0,1
100,ARG,1908,Summer,0,1
101,ARG,1920,Summer,0,1
102,ARG,1924,Summer,0,83
103,ARG,1928,Summer,0,65
104,ARG,1928,Winter,0,1
105,ARG,1932,Summer,0,41
106,ARG,1936,Summer,0,53
107,ARG,1948,Summer,0,224
108,ARG,1948,Winter,0,16
109,ARG,1952,Summer,0,137
110,ARG,1952,Winter,0,18
111,ARG,1956,Summer,0,39
112,ARG,1960,Summer,0,78
113,ARG,1960,Winter,0,14
114,ARG,1964,Summer,0,104
115,ARG,1964,Winter,0,15
116,ARG,1968,Summer,0,87
117,ARG,1968,Winter,0,12
118,ARG,1972,Summer,0,92
119,ARG,1972,Winter,0,6
120,ARG,1976,Summer,0,66
121,ARG,1976,Winter,0,16
122,ARG,1980,Winter,0,23
123,ARG,1984,Summer,0,90
124,ARG,1984,Winter,0,34
125,ARG,1988,Summer,0,67
126,ARG,1988,Winter,0,45
127,ARG,1992,Summer,0,84
128,ARG,1992,Winter,0,46
129,ARG,1994,Winter,0,20
130,ARG,1996,Summer,0,135
131,ARG,1998,Winter,0,6
132,ARG,2000,Summer,0,108
133,ARG,2002,Winter,0,26
134,ARG,2004,Summer,0,112
135,ARG,2006,Winter,0,17
136,ARG,2008,Summer,0,92
137,ARG,2010,Winter,0,20
138,ARG,2012,Summer,0,87
139,ARG,2014,Winter,0,20
140,ARG,2016,Summer,0,110
141,ARM,1994,Winter,0,1
142,ARM,1996,Summer,0,38
143,ARM,1998,Winter,0,7
144,ARM,2000,Summer,0,26
145,ARM,2002,Winter,0,16
146,ARM,2004,Summer,0,19
147,ARM,2006,Winter,0,8
148,ARM,2008,Summer,0,26
149,ARM,2010,Winter,0,6
150,ARM,2012,Summer,0,31
151,ARM,2014,Winter,0,6
152,ARM,2016,Summer,0,34
153,ARU,1988,Summer,0,12
154,ARU,1992,Summer,0,5
155,ARU,1996,Summer,0,3
156,ARU,2000,Summer,0,5
157,ARU,2004,Summer,0,4
158,ARU,2008,Summer,0,2
159,ARU,2012,Summer,0,4
160,ARU,2016,Summer,0,7
161,ASA,1988,Summer,0,6
162,ASA,1992,Summer,0,3
163,ASA,1994,Winter,0,1
164,ASA,1996,Summer,0,6
165,ASA,2000,Summer,0,4
166,ASA,2004,Summer,0,3
167,ASA,2008,Summer,0,4
168,ASA,2012,Summer,0,4
169,ASA,2016,Summer,0,4
170,AUS,1896,Summer,0,5
171,AUS,1900,Summer,0,6
172,AUS,1904,Summer,0,6
173,AUS,1906,Summer,0,10
174,AUS,1920,Summer,0,25
175,AUS,1924,Summer,0,55
176,AUS,1924,Winter,0,1
177,AUS,1928,Summer,0,29
178,AUS,1932,Summer,0,20
179,AUS,1936,Summer,0,39
180,AUS,1936,Winter,0,3
181,AUS,1948,Summer,0,77
182,AUS,1952,Summer,0,106
183,AUS,1952,Winter,0,19
184,AUS,1956,Summer,1,316
185,AUS,1956,Winter,1,17
186,AUS,1960,Summer,0,201
187,AUS,1960,Winter,0,22
188,AUS,1964,Summer,0,291
189,AUS,1964,Winter,0,14
190,AUS,1968,Summer,0,171
191,AUS,1968,Winter,0,7
192,AUS,1972,Summer,0,195
193,AUS,1972,Winter,0,12
194,AUS,1976,Summer,0,209
195,AUS,1976,Winter,0,19
196,AUS,1980,Summer,0,152
197,AUS,1980,Winter,0,19
198,AUS,1984,Summer,0,243
199,AUS,1984,Winter,0,20
200,AUS,1988,Summer,0,241
201,AUS,1988,Winter,0,30
202,AUS,1992,Summer,0,267
203,AUS,1992,Winter,0,37
204,AUS,1994,Winter,0,40
205,AUS,1996,Summer,0,382
206,AUS,1998,Winter,0,27
207,AUS,2000,Summer,1,489
208,AUS,2002,Winter,0,38
209,AUS,2004,Summer,0,377
210,AUS,2006,Winter,0,40
211,AUS,2008,Summer,0,381
212,AUS,2010,Winter,0,43
213,AUS,2012,Summer,0,350
214,AUS,2014,Winter,0,78
215,AUS,2016,Summer,0,340
216,AUT,1896,Summer,0,8
217,AUT,1900,Summer,0,26
218,AUT,1904,Summer,0,7
219,AUT,1906,Summer,0,90
220,AUT,1908,Summer,0,12
221,AUT,1912,Summer,0,87
222,AUT,1924,Summer,0,47
223,AUT,1924,Winter,0,4
224,AUT,1928,Summer,0,91
225,AUT,1928,Winter,0,28
226,AUT,1932,Summer,0,33
227,AUT,1932,Winter,0,11
228,AUT,1936,Summer,0,272
229,AUT,1936,Winter,0,48
