NOC,Year,summer_athlete_count
AFG,1936,4
AFG,1948,2
AFG,1956,1
AFG,1960,13
AFG,1964,8
AFG,1968,5
AFG,1972,8
AFG,1980,11
AFG,1988,5
AFG,1996,2
AFG,2004,5
AFG,2008,4
AFG,2012,6
AFG,2016,3
AHO,1952,1
AHO,1960,5
AHO,1964,4
AHO,1968,5
AHO,1972,2
AHO,1976,4
AHO,1984,13
AHO,1988,4
AHO,1992,4
AHO,1996,7
AHO,2000,8
AHO,2004,3
AHO,2008,4
ALB,1972,5
ALB,1992,9
ALB,1996,9
ALB,2000,5
ALB,2004,7
ALB,2008,12
ALB,2012,10
ALB,2016,6
ALG,1964,7
ALG,1968,9
ALG,1972,7
ALG,1980,34
ALG,1984,19
ALG,1988,32
ALG,1992,27
ALG,1996,32
ALG,2000,47
ALG,2004,67
ALG,2008,48
ALG,2012,29
ALG,2016,57
AND,1976,3
AND,1980,2
AND,1984,2
AND,1988,4
AND,1992,7
AND,1996,7
AND,2000,5
AND,2004,6
AND,2008,5
AND,2012,6
AND,2016,4
ANG,1980,14
ANG,1988,33
ANG,1992,32
ANG,1996,18
ANG,2000,18
ANG,2004,16
ANG,2008,19
ANG,2012,21
ANG,2016,11
ANT,1976,11
ANT,1984,18
ANT,1988,19
ANT,1992,17
ANT,1996,9
ANT,2000,4
ANT,2004,5
ANT,2008,5
ANT,2012,4
ANT,2016,6
ANZ,1908,31
ANZ,1912,35
ARG,1900,1
ARG,1908,1
ARG,1920,1
ARG,1924,83
ARG,1928,65
ARG,1932,41
ARG,1936,53
ARG,1948,224
ARG,1952,137
ARG,1956,39
ARG,1960,78
ARG,1964,104
ARG,1968,87
ARG,1972,92
ARG,1976,66
ARG,1984,90
ARG,1988,67
ARG,1992,84
ARG,1996,135
ARG,2000,108
ARG,2004,112
ARG,2008,92
ARG,2012,87
ARG,2016,110
ARM,1996,38
ARM,2000,26
ARM,2004,19
ARM,2008,26
ARM,2012,31
ARM,2016,34
ARU,1988,12
ARU,1992,5
ARU,1996,3
ARU,2000,5
ARU,2004,4
ARU,2008,2
ARU,2012,4
ARU,2016,7
ASA,1988,6
ASA,1992,3
ASA,1996,6
ASA,2000,4
ASA,2004,3
ASA,2008,4
ASA,2012,4
ASA,2016,4
AUS,1896,5
AUS,1900,6
AUS,1904,6
AUS,1906,10
AUS,1920,25
AUS,1924,55
AUS,1928,29
AUS,1932,20
AUS,1936,39
AUS,1948,77
AUS,1952,106
AUS,1956,316
AUS,1960,201
AUS,1964,291
AUS,1968,171
AUS,1972,195
AUS,1976,209
AUS,1980,152
AUS,1984,243
AUS,1988,241
AUS,1992,267
AUS,1996,382
AUS,2000,489
AUS,2004,377
AUS,2008,381
AUS,2012,350
AUS,2016,340
AUT,1896,8
AUT,1900,26
AUT,1904,7
AUT,1906,90
AUT,1908,12
AUT,1912,87
AUT,1924,47
AUT,1928,91
AUT,1932,33
AUT,1936,272
AUT,1948,182
AUT,1952,170
AUT,1956,45
AUT,1960,161
AUT,1964,69
AUT,1968,49
AUT,1972,109
AUT,1976,61
AUT,1980,70
AUT,1984,101
AUT,1988,83
AUT,1992,98
AUT,1996,77
AUT,2000,90
AUT,2004,77
AUT,2008,77
AUT,2012,77
AUT,2016,74
AZE,1996,24
AZE,2000,32
AZE,2004,37
AZE,2008,44
AZE,2012,58
AZE,2016,69
BAH,1952,6
BAH,1956,4
BAH,1960,12
BAH,1964,11
BAH,1968,18
BAH,1972,21
BAH,1976,16
BAH,1984,27
BAH,1988,17
BAH,1992,16
BAH,1996,22
BAH,2000,27
BAH,2004,20
BAH,2008,27
BAH,2012,23
BAH,2016,31
BAN,1984,2
BAN,1988,8
BAN,1992,6
BAN,1996,4
BAN,2000,6
BAN,2004,4
BAN,2008,5
BAN,2012,7
BAN,2016,7
BAR,1968,13
BAR,1972,17
BAR,1976,11
BAR,1984,19
BAR,1988,22
BAR,1992,19
BAR,1996,22
BAR,2000,22
BAR,2004,15
BAR,2008,10
BAR,2012,8
BAR,2016,13
BDI,1996,7
BDI,2000,6
BDI,2004,7
BDI,2008,3
BDI,2012,6
BDI,2016,10
BEL,1900,74
BEL,1906,28
BEL,1908,76
BEL,1912,46
BEL,1920,278
BEL,1924,165
BEL,1928,179
BEL,1932,65
BEL,1936,154
BEL,1948,126
BEL,1952,130
BEL,1956,55
BEL,1960,103
BEL,1964,43
BEL,1968,73
BEL,1972,77
BEL,1976,110
BEL,1980,67
BEL,1984,75
BEL,1988,84
BEL,1992,90
BEL,1996,75
BEL,2000,80
BEL,2004,58
BEL,2008,70
BEL,2012,90
BEL,2016,107
BEN,1972,3
BEN,1980,17
BEN,1984,3
BEN,1988,7
BEN,1992,7
BEN,1996,4
BEN,2000,4
BEN,2004,4
BEN,2008,5
BEN,2012,5
BEN,2016,6
BER,1936,6
BER,1948,22
BER,1952,12
BER,1956,3
BER,1960,8
BER,1964,4
BER,1968,6
BER,1972,9
BER,1976,16
BER,1984,13
BER,1988,14
BER,1992,24
BER,1996,9
BER,2000,6
BER,2004,9
BER,2008,6
BER,2012,8
BER,2016,8
BHU,1984,6
BHU,1988,4
BHU,1992,8
BHU,1996,2
BHU,2000,2
BHU,2004,2
BHU,2008,2
BHU,2012,2
BHU,2016,2
BIH,1992,13
BIH,1996,12
BIH,2000,11
BIH,2004,11
BIH,2008,7
BIH,2012,8
BIH,2016,11
BIZ,1968,7
BIZ,1972,2
BIZ,1976,4
BIZ,1984,10
BIZ,1988,10
BIZ,1992,12
BIZ,1996,5
BIZ,2000,2
BIZ,2004,2
BIZ,2008,4
BIZ,2012,3
BIZ,2016,3
BLR,1996,236
BLR,2000,201
BLR,2004,172
BLR,2008,207
BLR,2012,145
BLR,2016,134
BOH,1900,9
BOH,1906,28
BOH,1908,33
BOH,1912,58
BOL,1936,2
BOL,1964,1
BOL,1968,4
BOL,1972,14
BOL,1976,5
BOL,1984,13
BOL,1988,12
BOL,1992,18
BOL,1996,9
BOL,2000,5
BOL,2004,11
BOL,2008,7
BOL,2012,5
BOL,2016,12
BOT,1980,8
BOT,1984,8
BOT,1988,8
BOT,1992,6
BOT,1996,4
BOT,2000,5
BOT,2004,8
BOT,2008,11
BOT,2012,4
BOT,2016,11
BRA,1900,3
BRA,1920,19
BRA,1924,18
BRA,1932,53
BRA,1936,81
BRA,1948,82
BRA,1952,88
BRA,1956,51
BRA,1960,52
BRA,1964,30
BRA,1968,44
BRA,1972,64
BRA,1976,60
BRA,1980,104
BRA,1984,118
BRA,1988,159
BRA,1992,167
BRA,1996,154
BRA,2000,137
BRA,2004,203
BRA,2008,210
BRA,2012,199
BRA,2016,344
BRN,1984,12
BRN,1988,11
BRN,1992,12
BRN,1996,5
BRN,2000,4
BRN,2004,10
BRN,2008,15
BRN,2012,14
BRN,2016,33
BRU,1996,1
BRU,2000,2
BRU,2004,1
BRU,2012,3
BRU,2016,3
BUL,1924,18
BUL,1928,8
BUL,1932,2
BUL,1936,71
BUL,1952,140
BUL,1956,67
BUL,1960,151
BUL,1964,100
BUL,1968,149
BUL,1972,174
BUL,1976,211
BUL,1980,301
BUL,1988,233
BUL,1992,209
BUL,1996,150
BUL,2000,135
BUL,2004,112
BUL,2008,74
BUL,2012,64
BUL,2016,57
BUR,1972,1
BUR,1988,9
BUR,1992,4
BUR,1996,5
BUR,2000,4
BUR,2004,5
BUR,2008,6
BUR,2012,5
BUR,2016,5
CAF,1968,1
CAF,1984,3
CAF,1988,15
CAF,1992,18
CAF,1996,5
CAF,2000,3
CAF,2004,4
CAF,2008,3
CAF,2012,6
CAF,2016,6
CAM,1956,2
CAM,1964,11
CAM,1972,14
CAM,1996,5
CAM,2000,4
CAM,2004,4
CAM,2008,4
CAM,2012,6
CAM,2016,6
CAN,1900,7
CAN,1904,26
CAN,1906,4
CAN,1908,117
CAN,1912,54
CAN,1920,63
CAN,1924,69
CAN,1928,96
CAN,1932,163
CAN,1936,131
CAN,1948,151
CAN,1952,129
CAN,1956,126
CAN,1960,114
CAN,1964,159
CAN,1968,238
CAN,1972,269
CAN,1976,370
CAN,1984,405
CAN,1988,372
CAN,1992,341
CAN,1996,307
CAN,2000,301
CAN,2004,269
CAN,2008,299
CAN,2012,276
