NOC,Year,Medal_Bronze,Medal_Silver,Medal_Gold
AFG,1936,0,0,0
AFG,1948,0,0,0
AFG,1956,0,0,0
AFG,1960,0,0,0
AFG,1964,0,0,0
AFG,1968,0,0,0
AFG,1972,0,0,0
AFG,1980,0,0,0
AFG,1988,0,0,0
AFG,1996,0,0,0
AFG,2004,0,0,0
AFG,2008,1,0,0
AFG,2012,1,0,0
AFG,2016,0,0,0
AHO,1952,0,0,0
AHO,1960,0,0,0
AHO,1964,0,0,0
AHO,1968,0,0,0
AHO,1972,0,0,0
AHO,1976,0,0,0
AHO,1984,0,0,0
AHO,1988,0,1,0
AHO,1992,0,0,0
AHO,1996,0,0,0
AHO,2000,0,0,0
AHO,2004,0,0,0
AHO,2008,0,0,0
ALB,1972,0,0,0
ALB,1992,0,0,0
ALB,1996,0,0,0
ALB,2000,0,0,0
ALB,2004,0,0,0
ALB,2008,0,0,0
ALB,2012,0,0,0
ALB,2016,0,0,0
ALG,1964,0,0,0
ALG,1968,0,0,0
ALG,1972,0,0,0
ALG,1980,0,0,0
ALG,1984,2,0,0
ALG,1988,0,0,0
ALG,1992,1,0,1
ALG,1996,1,0,2
ALG,2000,3,1,1
ALG,2004,0,0,0
ALG,2008,1,1,0
ALG,2012,0,0,1
ALG,2016,0,2,0
AND,1976,0,0,0
AND,1980,0,0,0
AND,1984,0,0,0
AND,1988,0,0,0
AND,1992,0,0,0
AND,1996,0,0,0
AND,2000,0,0,0
AND,2004,0,0,0
AND,2008,0,0,0
AND,2012,0,0,0
AND,2016,0,0,0
ANG,1980,0,0,0
ANG,1988,0,0,0
ANG,1992,0,0,0
ANG,1996,0,0,0
ANG,2000,0,0,0
ANG,2004,0,0,0
ANG,2008,0,0,0
ANG,2012,0,0,0
ANG,2016,0,0,0
ANT,1976,0,0,0
ANT,1984,0,0,0
ANT,1988,0,0,0
ANT,1992,0,0,0
ANT,1996,0,0,0
ANT,2000,0,0,0
ANT,2004,0,0,0
ANT,2008,0,0,0
ANT,2012,0,0,0
ANT,2016,0,0,0
ANZ,1908,2,2,1
ANZ,1912,3,2,2
ARG,1900,0,0,0
