NOC,Year,winter_athlete_count
AHO,1988,2
AHO,1992,1
ALB,2006,3
ALB,2010,2
ALB,2014,2
ALG,1992,8
ALG,2006,3
ALG,2010,1
AND,1976,11
AND,1980,9
AND,1984,6
AND,1988,9
AND,1992,14
AND,1994,13
AND,1998,7
AND,2002,5
AND,2006,10
AND,2010,20
AND,2014,12
ARG,1928,1
ARG,1948,16
ARG,1952,18
ARG,1960,14
ARG,1964,15
ARG,1968,12
ARG,1972,6
ARG,1976,16
ARG,1980,23
ARG,1984,34
ARG,1988,45
ARG,1992,46
ARG,1994,20
ARG,1998,6
ARG,2002,26
ARG,2006,17
ARG,2010,20
ARG,2014,20
ARM,1994,1
ARM,1998,7
ARM,2002,16
ARM,2006,8
ARM,2010,6
ARM,2014,6
ASA,1994,1
AUS,1924,1
AUS,1936,3
AUS,1952,19
AUS,1956,17
AUS,1960,22
AUS,1964,14
AUS,1968,7
AUS,1972,12
AUS,1976,19
AUS,1980,19
AUS,1984,20
AUS,1988,30
AUS,1992,37
AUS,1994,40
AUS,1998,27
AUS,2002,38
AUS,2006,40
AUS,2010,43
AUS,2014,78
AUT,1924,4
AUT,1928,28
AUT,1932,11
AUT,1936,48
AUT,1948,67
AUT,1952,61
AUT,1956,58
AUT,1960,42
AUT,1964,84
AUT,1968,76
AUT,1972,52
AUT,1976,79
AUT,1980,50
AUT,1984,68
AUT,1988,107
AUT,1992,99
AUT,1994,89
AUT,1998,113
AUT,2002,109
AUT,2006,110
AUT,2010,114
AUT,2014,160
AZE,1998,4
AZE,2002,4
AZE,2006,2
AZE,2010,4
AZE,2014,4
BEL,1924,19
BEL,1928,5
BEL,1932,2
BEL,1936,18
BEL,1948,13
BEL,1952,12
BEL,1956,5
BEL,1964,6
BEL,1972,3
BEL,1976,11
BEL,1980,6
BEL,1984,9
BEL,1988,1
BEL,1992,4
BEL,1994,8
BEL,1998,3
BEL,2002,10
BEL,2006,8
BEL,2010,9
BEL,2014,10
BER,1992,1
BER,1994,1
BER,1998,1
BER,2002,1
BER,2006,1
BER,2010,1
BER,2014,1
BIH,1994,8
BIH,1998,8
BIH,2002,4
BIH,2006,9
BIH,2010,10
BIH,2014,14
BLR,1994,62
BLR,1998,73
BLR,2002,88
BLR,2006,61
BLR,2010,63
BLR,2014,60
BOL,1956,2
BOL,1980,8
BOL,1984,5
BOL,1988,8
BOL,1992,8
BRA,1992,16
BRA,1994,1
BRA,1998,1
BRA,2002,7
BRA,2006,9
BRA,2010,7
BRA,2014,13
BUL,1936,8
BUL,1948,9
BUL,1952,16
BUL,1956,15
BUL,1960,15
BUL,1964,17
BUL,1968,14
BUL,1972,12
BUL,1976,22
BUL,1980,16
BUL,1984,30
BUL,1988,39
BUL,1992,57
BUL,1994,33
BUL,1998,31
BUL,2002,47
BUL,2006,41
BUL,2010,38
BUL,2014,43
CAN,1924,9
CAN,1928,20
CAN,1932,40
CAN,1936,29
CAN,1948,36
CAN,1952,45
CAN,1956,36
CAN,1960,59
CAN,1964,67
CAN,1968,82
CAN,1972,73
CAN,1976,90
CAN,1980,58
CAN,1984,68
CAN,1988,144
CAN,1992,132
CAN,1994,109
CAN,1998,144
CAN,2002,154
CAN,2006,219
CAN,2010,222
CAN,2014,252
CAY,2010,1
CAY,2014,2
CHI,1948,11
CHI,1952,7
CHI,1956,7
CHI,1960,12
CHI,1964,11
CHI,1968,11
CHI,1976,11
CHI,1984,12
CHI,1988,16
CHI,1992,12
CHI,1994,7
CHI,1998,6
CHI,2002,11
CHI,2006,15
CHI,2010,10
CHI,2014,14
CHN,1980,35
CHN,1984,61
CHN,1988,15
CHN,1992,66
CHN,1994,34
CHN,1998,60
CHN,2002,80
CHN,2006,124
CHN,2010,98
CHN,2014,94
CMR,2002,2
COL,2010,2
CRC,1980,3
CRC,1984,7
CRC,1988,5
CRC,1992,6
CRC,2002,2
CRC,2006,1
CRO,1992,8
CRO,1994,11
CRO,1998,13
CRO,2002,26
CRO,2006,41
CRO,2010,33
CRO,2014,25
CYP,1980,6
CYP,1984,10
CYP,1988,8
CYP,1992,11
CYP,1994,1
CYP,1998,1
CYP,2002,2
CYP,2006,2
CYP,2010,4
CYP,2014,2
CZE,1994,73
CZE,1998,75
CZE,2002,118
CZE,2006,120
CZE,2010,124
CZE,2014,125
DEN,1948,2
DEN,1952,1
DEN,1960,3
DEN,1964,5
DEN,1968,6
DEN,1988,1
DEN,1992,13
DEN,1994,9
DEN,1998,19
DEN,2002,11
DEN,2006,4
DEN,2010,23
DEN,2014,15
DMA,2014,1
EGY,1984,3
ESP,1936,6
ESP,1948,12
ESP,1952,11
ESP,1956,14
ESP,1960,12
ESP,1964,12
ESP,1968,18
ESP,1972,7
ESP,1976,11
ESP,1980,15
ESP,1984,25
ESP,1988,29
ESP,1992,42
ESP,1994,33
ESP,1998,21
ESP,2002,16
ESP,2006,28
ESP,2010,35
ESP,2014,39
EST,1928,6
EST,1936,9
EST,1992,41
EST,1994,53
EST,1998,39
EST,2002,45
EST,2006,52
EST,2010,53
EST,2014,53
ETH,2006,1
ETH,2010,1
EUN,1992,161
FIJ,1988,1
FIJ,1994,1
FIJ,2002,2
FIN,1924,33
FIN,1928,27
FIN,1932,12
FIN,1936,33
FIN,1948,42
FIN,1952,54
FIN,1956,47
FIN,1960,53
FIN,1964,67
FIN,1968,71
FIN,1972,57
FIN,1976,53
FIN,1980,57
FIN,1984,52
FIN,1988,57
FIN,1992,77
FIN,1994,74
FIN,1998,77
FIN,2002,108
FIN,2006,85
FIN,2010,93
FIN,2014,95
FRA,1924,50
FRA,1928,27
FRA,1932,7
FRA,1936,11
FRA,1948,47
FRA,1952,36
FRA,1956,43
FRA,1960,52
FRA,1964,47
FRA,1968,84
FRA,1972,57
FRA,1976,47
FRA,1980,38
FRA,1984,50
FRA,1988,87
FRA,1992,130
FRA,1994,118
FRA,1998,117
FRA,2002,132
FRA,2006,136
FRA,2010,172
FRA,2014,166
FRG,1968,99
FRG,1972,85
FRG,1976,69
FRG,1980,80
FRG,1984,82
FRG,1988,106
GBR,1924,34
GBR,1928,19
GBR,1932,4
GBR,1936,25
GBR,1948,55
GBR,1952,35
GBR,1956,56
GBR,1960,39
GBR,1964,52
GBR,1968,51
GBR,1972,55
GBR,1976,54
GBR,1980,60
GBR,1984,59
GBR,1988,78
GBR,1992,74
GBR,1994,38
GBR,1998,35
GBR,2002,54
GBR,2006,49
GBR,2010,66
GBR,2014,63
GDR,1968,57
GDR,1972,58
GDR,1976,75
GDR,1980,68
GDR,1984,83
GDR,1988,77
GEO,1994,6
GEO,1998,6
GEO,2002,6
GEO,2006,4
GEO,2010,9
GEO,2014,7
GER,1928,33
GER,1932,4
GER,1936,43
GER,1952,54
GER,1956,59
GER,1960,90
GER,1964,110
GER,1992,142
GER,1994,135
GER,1998,161
GER,2002,179
GER,2006,170
GER,2010,188
GER,2014,197
GHA,2010,1
GRE,1936,2
GRE,1948,2
GRE,1952,6
GRE,1956,6
GRE,1964,7
GRE,1968,8
GRE,1972,6
