NOC,Year,Medal_Bronze,Medal_Silver,Medal_Gold
AHO,1988,0,0,0
AHO,1992,0,0,0
ALB,2006,0,0,0
ALB,2010,0,0,0
ALB,2014,0,0,0
ALG,1992,0,0,0
ALG,2006,0,0,0
ALG,2010,0,0,0
AND,1976,0,0,0
AND,1980,0,0,0
AND,1984,0,0,0
AND,1988,0,0,0
AND,1992,0,0,0
AND,1994,0,0,0
AND,1998,0,0,0
AND,2002,0,0,0
AND,2006,0,0,0
AND,2010,0,0,0
AND,2014,0,0,0
ARG,1928,0,0,0
ARG,1948,0,0,0
ARG,1952,0,0,0
ARG,1960,0,0,0
ARG,1964,0,0,0
ARG,1968,0,0,0
ARG,1972,0,0,0
ARG,1976,0,0,0
ARG,1980,0,0,0
ARG,1984,0,0,0
ARG,1988,0,0,0
ARG,1992,0,0,0
ARG,1994,0,0,0
ARG,1998,0,0,0
ARG,2002,0,0,0
ARG,2006,0,0,0
ARG,2010,0,0,0
ARG,2014,0,0,0
ARM,1994,0,0,0
ARM,1998,0,0,0
ARM,2002,0,0,0
ARM,2006,0,0,0
ARM,2010,0,0,0
ARM,2014,0,0,0
ASA,1994,0,0,0
AUS,1924,0,0,1
AUS,1936,0,0,0
AUS,1952,0,0,0
AUS,1956,0,0,0
AUS,1960,0,0,0
AUS,1964,0,0,0
AUS,1968,0,0,0
AUS,1972,0,0,0
AUS,1976,0,0,0
AUS,1980,0,0,0
AUS,1984,0,0,0
AUS,1988,0,0,0
AUS,1992,0,0,0
AUS,1994,1,0,0
AUS,1998,1,0,0
AUS,2002,0,0,2
AUS,2006,1,0,1
AUS,2010,0,1,2
AUS,2014,1,2,0
AUT,1924,0,1,3
AUT,1928,2,4,0
AUT,1932,0,1,1
AUT,1936,2,2,1
AUT,1948,4,3,1
AUT,1952,2,4,2
AUT,1956,4,3,5
AUT,1960,3,2,1
AUT,1964,3,3,4
AUT,1968,4,2,3
AUT,1972,2,2,1
AUT,1976,2,2,2
AUT,1980,2,2,3
AUT,1984,1,0,0
AUT,1988,2,5,3
