Country Code,Country Name,Year,Population
ARU,Aruba,1960,54208.0
AFE,Africa Eastern and Southern,1960,130836765.0
AFG,Afghanistan,1960,8996967.0
AFW,Africa Western and Central,1960,96396419.0
AGO,Angola,1960,5454938.0
ALB,Albania,1960,1608800.0
AND,Andorra,1960,13410.0
ARB,Arab World,1960,92197715.0
ARE,United Arab Emirates,1960,92417.0
ARG,Argentina,1960,20481781.0
ARM,Armenia,1960,1874119.0
ASM,American Samoa,1960,20127.0
ATG,Antigua and Barbuda,1960,54132.0
AUS,Australia,1960,10276477.0
AUT,Austria,1960,7047539.0
AZE,Azerbaijan,1960,3895398.0
BDI,Burundi,1960,2797925.0
BEL,Belgium,1960,9153489.0
BEN,Benin,1960,2431617.0
BFA,Burkina Faso,1960,4829289.0
BGD,Bangladesh,1960,48013505.0
BGR,Bulgaria,1960,7867374.0
BHR,Bahrain,1960,162429.0
BHS,"Bahamas, The",1960,109532.0
BIH,Bosnia and Herzegovina,1960,3225664.0
BLR,Belarus,1960,8198000.0
BLZ,Belize,1960,92068.0
BMU,Bermuda,1960,44400.0
BOL,Bolivia,1960,3656961.0
BRA,Brazil,1960,72179235.0
BRB,Barbados,1960,230985.0
BRN,Brunei Darussalam,1960,81707.0
BTN,Bhutan,1960,223284.0
BWA,Botswana,1960,502733.0
CAF,Central African Republic,1960,1501668.0
CAN,Canada,1960,17909009.0
CEB,Central Europe and the Baltics,1960,91401764.0
CHE,Switzerland,1960,5327827.0
CHI,Channel Islands,1960,109419.0
CHL,Chile,1960,8132988.0
CHN,China,1960,667070000.0
CIV,Cote d'Ivoire,1960,3503559.0
CMR,Cameroon,1960,5176920.0
COD,"Congo, Dem. Rep.",1960,15248256.0
COG,"Congo, Rep.",1960,1018254.0
COL,Colombia,1960,16057714.0
COM,Comoros,1960,191122.0
CPV,Cabo Verde,1960,201770.0
CRI,Costa Rica,1960,1330787.0
CSS,Caribbean small states,1960,4194711.0
CUB,Cuba,1960,7141241.0
CUW,Curacao,1960,124826.0
CYM,Cayman Islands,1960,7870.0
CYP,Cyprus,1960,572933.0
CZE,Czech Republic,1960,9602006.0
DEU,Germany,1960,72814900.0
DJI,Djibouti,1960,83634.0
DMA,Dominica,1960,60020.0
DNK,Denmark,1960,4579603.0
DOM,Dominican Republic,1960,3294222.0
DZA,Algeria,1960,11057864.0
EAP,East Asia & Pacific (excluding high income),1960,894875757.0
EAR,Early-demographic dividend,1960,980003345.0
EAS,East Asia & Pacific,1960,1041673567.0
ECA,Europe & Central Asia (excluding high income),1960,274647228.0
ECS,Europe & Central Asia,1960,666753356.0
ECU,Ecuador,1960,4543658.0
EGY,"Egypt, Arab Rep.",1960,26632891.0
EMU,Euro area,1960,265203956.0
ESP,Spain,1960,30455000.0
EST,Estonia,1960,1211537.0
ETH,Ethiopia,1960,22151284.0
EUU,European Union,1960,356906098.0
FCS,Fragile and conflict affected situations,1960,208280083.0
FIN,Finland,1960,4429634.0
FJI,Fiji,1960,393480.0
FRA,France,1960,46621688.0
FRO,Faroe Islands,1960,34624.0
FSM,"Micronesia, Fed. Sts.",1960,44510.0
GAB,Gabon,1960,500922.0
GBR,United Kingdom,1960,52400000.0
GEO,Georgia,1960,3645600.0
GHA,Ghana,1960,6635229.0
GIB,Gibraltar,1960,23420.0
GIN,Guinea,1960,3494164.0
GMB,"Gambia, The",1960,365049.0
GNB,Guinea-Bissau,1960,616140.0
GNQ,Equatorial Guinea,1960,255338.0
GRC,Greece,1960,8331725.0
GRD,Grenada,1960,89927.0
GRL,Greenland,1960,32500.0
GTM,Guatemala,1960,4128880.0
GUM,Guam,1960,66733.0
GUY,Guyana,1960,571813.0
HIC,High income,1960,759783611.0
HKG,"Hong Kong SAR, China",1960,3075605.0
HND,Honduras,1960,2038636.0
HPC,Heavily indebted poor countries (HIPC),1960,161734348.0
HRV,Croatia,1960,4140181.0
HTI,Haiti,1960,3866162.0
HUN,Hungary,1960,9983967.0
IBD,IBRD only,1960,1919643259.0
IBT,IDA & IBRD total,1960,2299245319.0
IDA,IDA total,1960,379602060.0
IDB,IDA blend,1960,120391642.0
IDN,Indonesia,1960,87751066.0
IDX,IDA only,1960,259210418.0
IMN,Isle of Man,1960,48444.0
IND,India,1960,450547675.0
IRL,Ireland,1960,2828600.0
IRN,"Iran, Islamic Rep.",1960,21906909.0
IRQ,Iraq,1960,7289753.0
ISL,Iceland,1960,175574.0
ISR,Israel,1960,2114020.0
ITA,Italy,1960,50199700.0
JAM,Jamaica,1960,1628524.0
JOR,Jordan,1960,933102.0
JPN,Japan,1960,93216000.0
KAZ,Kazakhstan,1960,9934564.0
KEN,Kenya,1960,8120082.0
KGZ,Kyrgyz Republic,1960,2172300.0
KHM,Cambodia,1960,5722372.0
KIR,Kiribati,1960,41196.0
KNA,St. Kitts and Nevis,1960,51199.0
KOR,"Korea, Rep.",1960,25012374.0
LAC,Latin America & Caribbean (excluding high income),1960,197123485.0
LAO,Lao PDR,1960,2120892.0
LBN,Lebanon,1960,1804935.0
LBR,Liberia,1960,1118655.0
LBY,Libya,1960,1448416.0
LCA,St. Lucia,1960,89698.0
LCN,Latin America & Caribbean,1960,219828794.0
LDC,Least developed countries: UN classification,1960,240518397.0
LIC,Low income,1960,137782356.0
LIE,Liechtenstein,1960,16501.0
LKA,Sri Lanka,1960,9874476.0
LMC,Lower middle income,1960,989984004.0
LMY,Low & middle income,1960,2264230620.0
LSO,Lesotho,1960,837264.0
LTE,Late-demographic dividend,1960,1096903448.0
LTU,Lithuania,1960,2778550.0
LUX,Luxembourg,1960,313970.0
LVA,Latvia,1960,2120979.0
MAC,"Macao SAR, China",1960,167795.0
MAF,St. Martin (French part),1960,3898.0
MAR,Morocco,1960,12328532.0
MCO,Monaco,1960,22461.0
MDA,Moldova,1960,2043664.0
MDG,Madagascar,1960,5099368.0
MDV,Maldives,1960,89873.0
MEA,Middle East & North Africa,1960,105203230.0
MEX,Mexico,1960,37771861.0
MHL,Marshall Islands,1960,14674.0
MIC,Middle income,1960,2126448264.0
MKD,North Macedonia,1960,1488670.0
MLI,Mali,1960,5263727.0
MLT,Malta,1960,326550.0
MMR,Myanmar,1960,21736947.0
MNA,Middle East & North Africa (excluding high income),1960,97553136.0
MNE,Montenegro,1960,480579.0
MNG,Mongolia,1960,955514.0
MNP,Northern Mariana Islands,1960,9980.0
MOZ,Mozambique,1960,7184870.0
MRT,Mauritania,1960,850377.0
MUS,Mauritius,1960,659351.0
MWI,Malawi,1960,3659980.0
MYS,Malaysia,1960,8156342.0
NAC,North America,1960,198624409.0
NAM,Namibia,1960,634138.0
NCL,New Caledonia,1960,79000.0
NER,Niger,1960,3388774.0
NGA,Nigeria,1960,45138460.0
NIC,Nicaragua,1960,1773132.0
NLD,Netherlands,1960,11486631.0
NOR,Norway,1960,3581239.0
NPL,Nepal,1960,10105060.0
NRU,Nauru,1960,4377.0
NZL,New Zealand,1960,2371800.0
OED,OECD members,1960,809413164.0
OMN,Oman,1960,551735.0
OSS,Other small states,1960,9151857.0
PAK,Pakistan,1960,44988690.0
PAN,Panama,1960,1133005.0
PER,Peru,1960,10155011.0
PHL,Philippines,1960,26269741.0
PLW,Palau,1960,9769.0
PNG,Papua New Guinea,1960,2255858.0
POL,Poland,1960,29637450.0
PRE,Pre-demographic dividend,1960,187617086.0
PRI,Puerto Rico,1960,2358000.0
PRK,"Korea, Dem. People's Rep.",1960,11424189.0
PRT,Portugal,1960,8857716.0
PRY,Paraguay,1960,1903990.0
PSS,Pacific island small states,1960,865064.0
PST,Post-demographic dividend,1960,755229793.0
PYF,French Polynesia,1960,78080.0
QAT,Qatar,1960,47383.0
ROU,Romania,1960,18406905.0
RUS,Russian Federation,1960,119897000.0
