Country,NOC,Year,Season,Host,athlete_count_x,Population,GDP per capita,Gold,Silver,Bronze,country_medal_total,athlete_count_y,olympic_total,medal_share,athlete_share,Lattitude,Longitude
0,AFG,1960,Summer,0,13,8996967,1326,0,0,0,0,5272,297,0,0.002465857,,
1,ARG,1960,Summer,0,78,20481781,8861,0,1,1,2,5272,297,0.006734007,0.014795144,,
2,AUS,1960,Summer,0,201,10276477,14013,8,8,6,22,5272,297,0.074074074,0.038125948,,
3,AUT,1960,Summer,0,161,7047539,10391,1,1,0,2,5272,297,0.006734007,0.030538695,,
4,BEL,1960,Summer,0,103,9153489,11081,0,2,2,4,5272,297,0.013468013,0.019537178,,
5,BRA,1960,Summer,0,52,72179235,3398,0,0,2,2,5272,297,0.006734007,0.009863429,,
6,BUL,1960,Summer,0,151,7867374,4642,1,3,3,7,5272,297,0.023569024,0.028641882,,
7,CAN,1960,Summer,0,114,17909009,13952,0,1,0,1,5272,297,0.003367003,0.021623672,,
8,CHI,1960,Summer,0,9,109419,6781,0,0,0,0,5272,297,0,0.001707132,,
9,CHI,1960,Summer,0,9,8132988,6781,0,0,0,0,5272,297,0,0.001707132,,
10,COL,1960,Summer,0,20,16057714,3980,0,0,0,0,5272,297,0,0.003793627,,
11,CUB,1960,Summer,0,20,7141241,2994,0,0,0,0,5272,297,0,0.003793627,,
12,DEN,1960,Summer,0,65,4579603,14046,2,3,1,6,5272,297,0.02020202,0.012329287,,
13,ESP,1960,Summer,0,191,30455000,5037,0,0,1,1,5272,297,0.003367003,0.036229135,,
14,ETH,1960,Summer,0,12,22151284,701,1,0,0,1,5272,297,0.003367003,0.002276176,,
15,FIN,1960,Summer,0,180,4429634,9931,1,1,3,5,5272,297,0.016835017,0.03414264,,
16,FRA,1960,Summer,0,256,46621688,11792,0,2,3,5,5272,297,0.016835017,0.048558422,,
17,GBR,1960,Summer,0,287,52400000,13780,2,6,12,20,5272,297,0.067340067,0.054438543,,
18,GER,1960,Summer,0,326,72814900,12282,0,0,0,0,5272,297,0,0.061836115,,
19,GHA,1960,Summer,0,12,6635229,2197,0,1,0,1,5272,297,0.003367003,0.002276176,,
20,GRE,1960,Summer,0,47,8331725,5015,1,0,0,1,5272,297,0.003367003,0.008915023,,
21,HAI,1960,Summer,0,1,3866162,1809,0,0,0,0,5272,297,0,0.000189681,,
22,HKG,1960,Summer,0,4,3075605,5088,0,0,0,0,5272,297,0,0.000758725,,
23,HUN,1960,Summer,0,222,9983967,5816,6,8,7,21,5272,297,0.070707071,0.042109256,,
24,INA,1960,Summer,0,23,87751066,1613,0,0,0,0,5272,297,0,0.004362671,,
25,IND,1960,Summer,0,26,450547675,1200,0,1,0,1,5272,297,0.003367003,0.004931715,,
26,IRL,1960,Summer,0,54,2828600,6825,0,0,0,0,5272,297,0,0.010242792,,
27,IRQ,1960,Summer,0,25,7289753,4360,0,0,1,1,5272,297,0.003367003,0.004742033,,
28,ISL,1960,Summer,0,11,175574,10959,0,0,0,0,5272,297,0,0.002086495,,
29,ISR,1960,Summer,0,43,2114020,7433,0,0,0,0,5272,297,0,0.008156297,,
30,ITA,1960,Summer,1,282,50199700,9430,13,10,13,36,5272,297,0.121212121,0.053490137,,
31,JPN,1960,Summer,0,213,93216000,6354,4,7,7,18,5272,297,0.060606061,0.040402124,,
32,KEN,1960,Summer,0,14,8120082,1157,0,0,0,0,5272,297,0,0.002655539,,
33,KOR,1960,Summer,0,46,25012374,1547.69,0,0,0,0,5272,297,0,0.008725341,,
34,LBR,1960,Summer,0,6,1118655,3674,0,0,0,0,5272,297,0,0.001138088,,
35,LUX,1960,Summer,0,97,313970,15870,0,0,0,0,5272,297,0,0.01839909,,
36,MAR,1960,Summer,0,91,12328532,2118,0,1,0,1,5272,297,0.003367003,0.017261002,,
37,MEX,1960,Summer,0,89,37771861,4723,0,0,1,1,5272,297,0.003367003,0.016881639,,
38,MLT,1960,Summer,0,10,326550,2383,0,0,0,0,5272,297,0,0.001896813,,
39,MYA,1960,Summer,0,9,21736947,899,0,0,0,0,5272,297,0,0.001707132,,
40,NED,1960,Summer,0,103,11486631,13209,0,1,2,3,5272,297,0.01010101,0.019537178,,
41,NGR,1960,Summer,0,12,45138460,1307,0,0,0,0,5272,297,0,0.002276176,,
42,NOR,1960,Summer,0,48,3581239,11483,1,0,0,1,5272,297,0.003367003,0.009104704,,
43,NZL,1960,Summer,0,33,2371800,15087,2,0,1,3,5272,297,0.01010101,0.006259484,,
44,PAK,1960,Summer,0,38,44988690,1031,1,0,1,2,5272,297,0.006734007,0.007207891,,
45,PAN,1960,Summer,0,5,1133005,3217,0,0,0,0,5272,297,0,0.000948407,,
46,PER,1960,Summer,0,15,10155011,4733,0,0,0,0,5272,297,0,0.00284522,,
47,PHI,1960,Summer,0,43,26269741,2353,0,0,0,0,5272,297,0,0.008156297,,
48,POL,1960,Summer,0,228,29637450,5125,4,6,11,21,5272,297,0.070707071,0.043247344,,
49,POR,1960,Summer,0,85,8857716,4712,0,1,0,1,5272,297,0.003367003,0.016122914,,
50,PUR,1960,Summer,0,26,2358000,5451,0,0,0,0,5272,297,0,0.004931715,,
51,ROU,1960,Summer,0,114,18406905,1605,3,1,6,10,5272,297,0.033670034,0.021623672,,
52,RSA,1960,Summer,0,54,17099836,4847,0,1,2,3,5272,297,0.01010101,0.010242792,,
53,SGP,1960,Summer,0,5,1646400,3464,0,1,0,1,5272,297,0.003367003,0.000948407,,
54,SRI,1960,Summer,0,5,9874476,2064,0,0,0,0,5272,297,0,0.000948407,,
55,SUD,1960,Summer,0,13,7544498,1632,0,0,0,0,5272,297,0,0.002465857,,
56,SUI,1960,Summer,0,167,5327827,16358.36,0,3,3,6,5272,297,0.02020202,0.031676783,,
57,SWE,1960,Summer,0,213,7484656,13849,1,2,3,6,5272,297,0.02020202,0.040402124,,
58,THA,1960,Summer,0,20,27397208,1718,0,0,0,0,5272,297,0,0.003793627,,
59,TUN,1960,Summer,0,39,4178235,2141,0,0,0,0,5272,297,0,0.007397572,,
60,TUR,1960,Summer,0,43,27472339,3041,7,2,0,9,5272,297,0.03030303,0.008156297,,
61,UGA,1960,Summer,0,13,6767092,1137,0,0,0,0,5272,297,0,0.002465857,,
62,USA,1960,Summer,0,330,180671000,18057,34,21,16,71,5272,297,0.239057239,0.062594841,,
63,VEN,1960,Summer,0,40,8141839,12116,0,0,1,1,5272,297,0.003367003,0.007587253,,
64,ZIM,1960,Summer,0,7,3776679,1495,0,0,0,0,5272,297,0,0.001327769,,
65,AFG,1964,Summer,0,8,9744772,1291,0,0,0,0,4991,335,0,0.001602885,,
66,ALG,1964,Summer,0,7,12221675,2879,0,0,0,0,4991,335,0,0.001402525,,
67,ARG,1964,Summer,0,104,21824427,9446,0,1,0,1,4991,335,0.002985075,0.020837508,,
68,AUS,1964,Summer,0,291,11167000,15699,6,2,10,18,4991,335,0.053731343,0.058304949,,
69,AUT,1964,Summer,0,69,7223801,12062,0,0,0,0,4991,335,0,0.013824885,,
70,BEL,1964,Summer,0,43,9378113,13295,2,0,1,3,4991,335,0.008955224,0.008615508,,
71,BOL,1964,Summer,0,1,3957759,2809,0,0,0,0,4991,335,0,0.000200361,,
72,BRA,1964,Summer,0,30,81064572,3637,0,0,1,1,4991,335,0.002985075,0.006010819,,
73,BUL,1964,Summer,0,100,8144340,5829,3,5,2,10,4991,335,0.029850746,0.020036065,,
74,CAM,1964,Summer,0,11,6331443,1074,0,0,0,0,4991,335,0,0.002203967,,
75,CAN,1964,Summer,0,159,19325000,15938,1,2,1,4,4991,335,0.011940299,0.031857343,,
76,CHA,1964,Summer,0,2,3246527,929,0,0,0,0,4991,335,0,0.000400721,,
77,CHI,1964,Summer,0,16,113777,7320,0,0,0,0,4991,335,0,0.00320577,,
78,CHI,1964,Summer,0,16,8821855,7320,0,0,0,0,4991,335,0,0.00320577,,
79,CIV,1964,Summer,0,10,4071411,2691,0,0,0,0,4991,335,0,0.002003606,,
80,CMR,1964,Summer,0,2,5643039,1390,0,0,0,0,4991,335,0,0.000400721,,
81,COL,1964,Summer,0,30,18175187,4264,0,0,0,0,4991,335,0,0.006010819,,
82,CRC,1964,Summer,0,2,1539942,4720,0,0,0,0,4991,335,0,0.000400721,,
83,CUB,1964,Summer,0,67,7793258,3158,0,1,0,1,4991,335,0.002985075,0.013424163,,
84,DEN,1964,Summer,0,54,4722072,16832,2,1,3,6,4991,335,0.017910448,0.010819475,,
85,DOM,1964,Summer,0,1,3757123,2365,0,0,0,0,4991,335,0,0.000200361,,
86,EGY,1964,Summer,0,49,29644875,1859,0,0,0,0,4991,335,0,0.009817672,,
87,ESP,1964,Summer,0,43,31609195,6945,0,0,0,0,4991,335,0,0.008615508,,
88,ETH,1964,Summer,0,16,24397010,840,1,0,0,1,4991,335,0.002985075,0.00320577,,
89,FIN,1964,Summer,0,135,4548543,11647,3,0,2,5,4991,335,0.014925373,0.027048688,,
90,FRA,1964,Summer,0,162,49230585,14057,1,8,6,15,4991,335,0.044776119,0.032458425,,
91,GBR,1964,Summer,0,224,54000000,15251,4,12,2,18,4991,335,0.053731343,0.044880785,,
92,GER,1964,Summer,0,360,75318337,14062,0,0,0,0,4991,335,0,0.072129834,,
93,GHA,1964,Summer,0,21,7524470,2254,0,0,1,1,4991,335,0.002985075,0.004207574,,
94,GRE,1964,Summer,0,19,8510429,6601,0,0,0,0,4991,335,0,0.003806852,,
