City,Country,NOC,Year,Continent,Summer,Winter
Athens,Greece,GRE,1896,Europe,I,
Paris,France,FRA,1900,Europe,II,
St. Louis,United States,USA,1904,North America,III,
London,United Kingdom,GBR,1908,Europe,IV,
Stockholm,Sweden,SWE,1912,Europe,V,
Antwerp,Belgium,BEL,1920,Europe,VII,
Chamonix,France,FRA,1924,Europe,,I
Paris,France,FRA,1924,Europe,VIII,
St. Moritz,Switzerland,SUI,1928,Europe,,II
Amsterdam,Netherlands,NED,1928,Europe,IX,
Lake Placid,United States,USA,1932,North America,,III
Los Angeles,United States,USA,1932,North America,X,
Garmisch-Partenkirchen,Germany,GER,1936,Europe,,IV
Berlin,Germany,GER,1936,Europe,XI,
St. Moritz,Switzerland,SUI,1948,Europe,,V
London,United Kingdom,GBR,1948,Europe,XIV,
Oslo,Norway,NOR,1952,Europe,,VI
Helsinki,Finland,FIN,1952,Europe,XV,
Cortina d'Ampezzo,Italy,ITA,1956,Europe,,VII
Melbourne,Australia,AUS,1956,Oceania,XVI,
Stockholm,Sweden,SWE,1956,Europe,XVI,
Squaw Valley,United States,USA,1960,North America,,VIII
Rome,Italy,ITA,1960,Europe,XVII,
Innsbruck,Austria,AUT,1964,Europe,,IX
Tokyo,Japan,JPN,1964,Asia,XVIII,
Grenoble,France,FRA,1968,Europe,,X
Mexico City,Mexico,MEX,1968,North America,XIX,
Sapporo,Japan,JPN,1972,Asia,,XI
Munich,West Germany,FRG,1972,Europe,XX,
Innsbruck,Austria,AUT,1976,Europe,,XII
Montreal,Canada,CAN,1976,North America,XXI,
Lake Placid,United States,USA,1980,North America,,XIII
Moscow,Soviet Union,URS,1980,Europe,XXII,
Sarajevo,Yugoslavia,YUG,1984,Europe,,XIV
Los Angeles,United States,USA,1984,North America,XXIII,
Calgary,Canada,CAN,1988,North America,,XV
Seoul,South Korea,KOR,1988,Asia,XXIV,
Albertville,France,FRA,1992,Europe,,XVI
Barcelona,Spain,ESP,1992,Europe,XXV,
Lillehammer,Norway,NOR,1994,Europe,,XVII
Atlanta,United States,USA,1996,North America,XXVI,
Nagano,Japan,JPN,1998,Asia,,XVIII
Sydney,Australia,AUS,2000,Oceania,XXVII,
Salt Lake City,United States,USA,2002,North America,,XIX
Athens,Greece,GRE,2004,Europe,XXVIII,
Turin,Italy,ITA,2006,Europe,,XX
Beijing,China,CHN,2008,Asia,XXIX,
Vancouver,Canada,CAN,2010,North America,,XXI
London,United Kingdom,GBR,2012,Europe,XXX,
Sochi,Russia,RUS,2014,Europe,,XXII
Rio de Janeiro,Brazil,BRA,2016,South America,XXXI,
Pyeongchang,South Korea,KOR,2018,Asia,,XXIII
Tokyo,Japan,JPN,2020,Asia,XXXII,
Beijing,China,CHN,2022,Asia,,XXIV
Paris,France,FRA,2024,Europe,XXXIII,
Milan–Cortina d'Ampezzo,Italy,ITA,2026,Europe,,XXV
Los Angeles,United States,USA,2028,North America,XXXIV,
Brisbane,Australia,AUS,2032,Oceania,XXXV,
