Year,Season,Country,NOC,Population,gdp_per_capita,athlete_share,Host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,,Lattitude,Longitude
2020,Summer,Afghanistan,AFG,38928341,581,0.000435426,0,0,-0.002375822,0,0,0,0,33.7680065,66.2385139
2020,Summer,Albania,ALB,2837743,5287,0.000783767,0,0,-0.002612335,0,0,0,0,41.000028,19.9999619
2020,Summer,Algeria,ALG,43851043,3263,0.003831751,0,0,0.002258604,0.002258604,2.439292524,-2.439292524,2.439292524,28.0000272,2.9999825
2020,Summer,American Samoa,ASA,49710,12844.9,0.000522512,0,0,-0.003229777,0,0,0,0,-14.270972,-170.132217
2020,Summer,Andorra,AND,77265,30476.8,0.000174171,0,0,-0.004209618,0,0,0,0,42.5407167,1.5732033
2020,Summer,Angola,ANG,32866268,2012,0.001741705,0,0,-0.000731944,0,0,0,0,-11.8775768,17.5691241
2020,Summer,Antigua and Barbuda,ANT,97928,14168,0.000522512,0,0,-0.003266913,0,0,0,0,17.2234721,-61.9554608
2020,Summer,Argentina,ARG,45376763,8555,0.016459113,0,3,0.019355091,0.019355091,20.90349845,-17.90349845,17.90349845,-34.9964963,-64.9672817
2020,Summer,Armenia,ARM,2963234,4155,0.001480449,0,4,-0.001627625,0,0,4,4,40.7696272,44.6736646
2020,Summer,Aruba,ARU,106766,21833,0.000261256,0,0,-0.003842722,0,0,0,0,12.52111,-69.968338
2020,Summer,Australia,AUS,25687041,52825,0.041626753,0,46,0.052100731,0.052100731,56.26878972,-10.26878972,10.26878972,-24.7761086,134.755
2020,Summer,Austria,AUT,8917205,48154,0.005225115,0,7,0.002314711,0.002314711,2.499888078,4.500111922,4.500111922,47.2000338,13.199959
2020,Summer,Azerbaijan,AZE,10093121,4218,0.003831751,0,7,0.0016917,0.0016917,1.827036091,5.172963909,5.172963909,40.3936294,47.7872508
2020,Summer,Bahamas,BAH,393248,28608,0.001393364,0,2,-0.002488049,0,0,2,2,24.7736546,-78.0000547
2020,Summer,Bahrain,BRN,1701583,22402,0.002786728,0,1,-0.000388792,0,0,1,1,26.1551249,50.5344606
2020,Summer,Bangladesh,BAN,164689383,1998,0.000522512,0,0,-0.000287627,0,0,0,0,24.4768783,90.2932426
2020,Summer,Barbados,BAR,287371,15163,0.000696682,0,0,-0.003054823,0,0,0,0,13.1500331,-59.5250305
2020,Summer,Belarus,BLR,9379952,6399,0.008795611,0,7,0.008388519,0.008388519,9.059601056,-2.059601056,2.059601056,53.4250605,27.6971358
2020,Summer,Belgium,BEL,11555997,44529,0.010537316,0,7,0.00970658,0.00970658,10.48310611,-3.483106113,3.483106113,50.6402809,4.6667145
2020,Summer,Belize,BIZ,397621,3945,0.000261256,0,0,-0.003325592,0,0,0,0,16.8259793,-88.7600927
2020,Summer,Benin,BEN,12123198,1251,0.000609597,0,0,-0.002585867,0,0,0,0,9.5293472,2.2584408
2020,Summer,Bermuda,BER,63903,107435,0.000174171,0,1,-0.006414642,0,0,1,1,32.321384,-64.75737
2020,Summer,Bhutan,BHU,771612,3359,0.000348341,0,0,-0.003184043,0,0,0,0,27.549511,90.5119273
2020,Summer,Bolivia,BOL,11673029,3360,0.000435426,0,0,-0.002891053,0,0,0,0,-17.0568696,-64.9912286
2020,Summer,Bosnia and Herzegovina,BIH,3280815,5913,0.000609597,0,0,-0.002860756,0,0,0,0,44.3053476,17.5961467
2020,Summer,Botswana,BOT,2351625,6781,0.001132108,0,1,-0.00218777,0,0,1,1,-23.1681782,24.5928742
2020,Summer,Brazil,BRA,212559409,6783,0.026212662,0,21,0.035381729,0.035381729,38.21226738,-17.21226738,17.21226738,-10.3333333,-53.2
2020,Summer,British Virgin Islands,IVB,30237,34200,0.000261256,0,0,-0.004198253,0,0,0,0,18.420695,-64.639968
2020,Summer,Brunei,BRU,460345,32402.37,0.000174171,0,0,-0.004258662,0,0,0,0,4.4137155,114.5653908
2020,Summer,Bulgaria,BUL,6934015,9919,0.003657581,0,6,0.001240311,0.001240311,1.339535485,4.660464515,4.660464515,42.6073975,25.4856617
2020,Summer,Burkina Faso,BUR,20903278,791,0.000609597,0,0,-0.002432359,0,0,0,0,12.0753083,-1.6880314
2020,Summer,Burundi,BDI,11890781,254,0.000522512,0,0,-0.002679802,0,0,0,0,-3.3634357,29.8870575
2020,Summer,Cambodia,CAM,16718971,1655,0.000261256,0,0,-0.002999125,0,0,0,0,13.5066394,104.869423
2020,Summer,Cameroon,CMR,26545864,1470,0.001045023,0,0,-0.001767707,0,0,0,0,4.6125522,13.1535811
2020,Summer,Canada,CAN,38005238,43278,0.033179483,0,24,0.041049054,0.041049054,44.33297881,-20.33297881,20.33297881,61.0666922,-107.9917071
2020,Summer,Cape Verde,CPV,555988,3148,0.000522512,0,0,-0.002943875,0,0,0,0,16.0000552,-24.0083947
2020,Summer,Cayman Islands,CAY,65720,85083,0.000435426,0,0,-0.005417888,0,0,0,0,19.513469,-80.566956
2020,Summer,Central African Republic,CAF,4829764,490,0.000174171,0,0,-0.003274555,0,0,0,0,7.0323598,19.9981227
2020,Summer,Chad,CHA,16425859,654,0.000261256,0,0,-0.002975132,0,0,0,0,15.6134137,19.0156172
2020,Summer,Chile,CHI,173859,12990,0.005050945,0,0,0.00294483,0.00294483,3.180416521,-3.180416521,3.180416521,-31.7613365,-71.3187697
2020,Summer,China,CHN,1410929362,10484,0.035356614,0,88,0.066901271,0.066901271,72.25337237,15.74662763,15.74662763,35.000074,104.999927
2020,Summer,Chinese Taipei,TPE,23816775,26690,0.005921797,0,12,0.004118053,0.004118053,4.447496925,7.552503075,7.552503075,23.69781,120.960515
2020,Summer,Colombia,COL,50882884,5336,0.006095968,0,5,0.005399993,0.005399993,5.831992048,-0.831992048,0.831992048,2.8894434,-73.783892
2020,Summer,Comoros,COM,869595,1362,0.000261256,0,0,-0.003244047,0,0,0,0,-11.875001,43.872219
2020,Summer,Cook Islands,COK,8574,16700,0.000522512,0,0,-0.003340881,0,0,0,0,-21.236736,-159.777671
2020,Summer,Costa Rica,CRC,5094114,11982,0.001219194,0,0,-0.002174158,0,0,0,0,10.2735633,-84.0739102
2020,Summer,Croatia,CRO,4047200,14072,0.00513803,0,8,0.003094522,0.003094522,3.342083625,4.657916375,4.657916375,45.5643442,17.0118954
