Year,season,country,noc,population,gdpperc,athlete_share,host,country_medal_total,medal_share_predicted,positive_medal_share,predicted_medals,Difference_Acutal_Predicted,latitude,longitude
2016,summer,Bolivia,BOL,11031800,6355,0.00122474,0,0,-0.002456725,0,0,0,-17.0568696,-64.9912286
2016,summer,Finland,FIN,5495300,37239,0.00642988,0,1,0.003391938,0.003391938,3.246084958,-2.246084958,63.2467777,25.9209164
2016,summer,South Africa,RSA,56207600,12139,0.0103082,0,10,0.011353536,0.011353536,10.86533403,-0.865334034,-28.8166236,24.991639
2016,summer,Dominica,DMA,71307,9550,0.000204123,0,0,-0.004324664,0,0,0,19.0974031,-70.3028026
2016,summer,Ukraine,UKR,45004700,9214,0.0235762,0,11,0.03068423,0.03068423,29.36480805,-18.36480805,49.4871968,31.2718321
2016,summer,Senegal,SEN,14993500,2403,0.00224536,0,0,-0.000679761,0,0,0,14.4750607,-14.4529612
2016,summer,China,CHN,1387790000,12569,0.0367422,0,70,0.07496513,0.07496513,71.74162915,-1.741629147,35.000074,104.999927
2016,summer,Zambia,ZAM,16363400,3479,0.000714432,0,0,-0.002948286,0,0,0,-14.5186239,27.5599164
2016,summer,Kyrgyzstan,KGZ,6079500,4879,0.00193917,0,0,-0.00142701,0,0,0,41.5089324,74.724091
2016,summer,Syria,SYR,17465600,3091,0.000714432,0,0,-0.002906826,0,0,0,34.6401861,39.0494106
2016,summer,France,FRA,66724100,37124,0.0338845,0,42,0.044659761,0.044659761,42.73939087,-0.739390872,46.603354,1.8883335
2016,summer,Algeria,ALG,40551400,14331,0.00581751,0,2,0.00438123,0.00438123,4.192836633,-2.192836633,28.0000272,2.9999825
2016,summer,Belarus,BLR,9469380,17628,0.0136763,0,9,0.015102742,0.015102742,14.45332454,-5.453324543,53.4250605,27.6971358
2016,summer,Afghanistan,AFG,35383000,1929,0.000306185,0,0,-0.003104534,0,0,0,33.7680065,66.2385139
2016,summer,Slovenia,SLO,2065040,26908,0.00500102,0,4,0.001792562,0.001792562,1.715481988,2.284518012,45.8133113,14.4808369
2016,summer,Romania,ROU,19702300,17782,0.00908349,0,4,0.008576594,0.008576594,8.207800358,-4.207800358,45.9852129,24.6859225
2016,summer,0,HKG,7336600,48330,0.00387834,0,0,-0.000894593,0,0,0,0,0
2016,summer,Uganda,UGA,39649200,1980,0.00234742,0,0,-4.49E-05,0,0,0,1.5333554,32.2166578
2016,summer,Honduras,HON,9270790,4796,0.000816493,0,0,-0.003002862,0,0,0,15.2572432,-86.0755145
2016,summer,Serbia,SRB,7058320,13184,0.00949173,0,8,0.009181478,0.009181478,8.78667399,-0.78667399,44.02432285,21.07657433
2016,summer,Nicaragua,NCA,6303970,5045,0.000510308,0,0,-0.003519254,0,0,0,12.6090157,-85.2936911
2016,summer,Djibouti,DJI,929117,3064,0.000816493,0,0,-0.003066913,0,0,0,11.8145966,42.8453061
2016,summer,Mongolia,MGL,3056360,12360,0.00469484,0,2,0.002142075,0.002142075,2.049965985,-0.049965985,46.8250388,103.8499736
2016,summer,Norway,NOR,5234520,82814,0.00653195,0,4,0.001098201,0.001098201,1.050978177,2.949021823,64.5731537,11.52803644
2016,summer,Denmark,DEN,5728010,44836,0.00898142,0,15,0.006717745,0.006717745,6.428881679,8.571118321,55.670249,10.3333283
2016,summer,Barbados,BAR,285798,12003,0.0013268,0,0,-0.002811613,0,0,0,13.1500331,-59.5250305
2016,summer,Nepal,NEP,27263400,2435,0.000714432,0,0,-0.002687679,0,0,0,28.1083929,84.0917139
2016,summer,Mexico,MEX,123333000,16133,0.0104103,0,5,0.012550028,0.012550028,12.01037655,-7.010376547,19.4326296,-99.1331785
2016,summer,Russia,RUS,144342000,23635,0.0287814,0,56,0.039383736,0.039383736,37.69023555,18.30976445,64.6863136,97.7453061
2016,summer,Bosnia and Herzegovina,BIH,3386260,9746,0.00112268,0,0,-0.002930856,0,0,0,44.3053476,17.5961467
2016,summer,Gabon,GAB,2007880,18413,0.00061237,0,0,-0.004165945,0,0,0,-0.8999695,11.6899699
2016,summer,Sweden,SWE,9923090,44659,0.0106144,0,11,0.009191819,0.009191819,8.79657051,2.20342949,59.6749712,14.5208584
2016,summer,Dominican Republic,DOM,10397700,14489,0.00244948,0,1,-0.001114395,0,0,1,19.0974031,-70.3028026
2016,summer,Sri Lanka,SRI,21203000,11149,0.00102062,0,0,-0.002820324,0,0,0,7.5554942,80.7137847
2016,summer,Gambia,GAM,2149130,1788,0.000408247,0,0,-0.003572188,0,0,0,13.470062,-15.4900464
2016,summer,Czech Republic,CZE,10566300,28823,0.0119412,0,10,0.011989492,0.011989492,11.47394337,-1.473943374,49.8167003,15.4749544
2016,summer,Uzbekistan,UZB,31847900,10381,0.00806287,0,13,0.007709523,0.007709523,7.378013325,5.621986675,41.32373,63.9528098
2016,summer,Montenegro,MNE,622303,17741,0.000918555,0,0,-0.003708687,0,0,0,42.9868853,19.5180992
2016,summer,Nigeria,NGR,185960000,5360,0.00561339,0,1,0.007294452,0.007294452,6.980790681,-5.980790681,9.6000359,7.9999721
2016,summer,Sao Tome and Principe,STP,203221,3624,0.000306185,0,0,-0.003856071,0,0,0,0.8875498,6.9648718
2016,summer,India,IND,1324520000,6125,0.00887936,0,2,0.033413413,0.033413413,31.97663617,-29.97663617,22.3511148,78.6677428
2016,summer,Armenia,ARM,2936150,10080,0.0034701,0,4,0.000472425,0.000472425,0.452110845,3.547889155,40.7696272,44.6736646
2016,summer,Hungary,HUN,9814020,23279,0.0156154,0,15,0.017639969,0.017639969,16.88145034,-1.881450341,47.1817585,19.5060937
2016,summer,United Kingdom,GBR,65611600,37334,0.0345989,0,67,0.045671374,0.045671374,43.70750447,23.29249553,54.7023545,-3.2765753
2016,summer,South Korea,KOR,51217800,36103,0.0179628,0,21,0.021161328,0.021161328,20.25139126,0.748608744,35.7724185,127.7965435
2016,summer,Guinea-Bissau,GBS,1782430,1436,0.000510308,0,0,-0.003411135,0,0,0,12.100035,-14.9000214
2016,summer,Cyprus,CYP,1170190,25577,0.00214329,0,0,-0.002328219,0,0,0,34.9823018,33.1451285
2016,summer,Chile,CHI,166922,21696,0.00438865,0,0,0.001141035,0.001141035,1.091970191,-1.091970191,-31.7613365,-71.3187697
