Primary Key,Country Code,Country Name,Year,Population
1,ARU,Aruba,1960,54208
2,AFE,Africa Eastern and Southern,1960,130836765
3,AFG,Afghanistan,1960,8996967
4,AFW,Africa Western and Central,1960,96396419
5,AGO,Angola,1960,5454938
6,ALB,Albania,1960,1608800
7,AND,Andorra,1960,13410
8,ARB,Arab World,1960,92197715
9,ARE,United Arab Emirates,1960,92417
10,ARG,Argentina,1960,20481781
11,ARM,Armenia,1960,1874119
12,ASM,American Samoa,1960,20127
13,ATG,Antigua and Barbuda,1960,54132
14,AUS,Australia,1960,10276477
15,AUT,Austria,1960,7047539
16,AZE,Azerbaijan,1960,3895398
17,BDI,Burundi,1960,2797925
18,BEL,Belgium,1960,9153489
19,BEN,Benin,1960,2431617
20,BFA,Burkina Faso,1960,4829289
21,BGD,Bangladesh,1960,48013505
22,BGR,Bulgaria,1960,7867374
23,BHR,Bahrain,1960,162429
24,BHS,"Bahamas, The",1960,109532
25,BIH,Bosnia and Herzegovina,1960,3225664
26,BLR,Belarus,1960,8198000
27,BLZ,Belize,1960,92068
28,BMU,Bermuda,1960,44400
29,BOL,Bolivia,1960,3656961
30,BRA,Brazil,1960,72179235
31,BRB,Barbados,1960,230985
32,BRN,Brunei Darussalam,1960,81707
33,BTN,Bhutan,1960,223284
34,BWA,Botswana,1960,502733
35,CAF,Central African Republic,1960,1501668
36,CAN,Canada,1960,17909009
37,CEB,Central Europe and the Baltics,1960,91401764
38,CHE,Switzerland,1960,5327827
39,CHI,Channel Islands,1960,109419
40,CHL,Chile,1960,8132988
41,CHN,China,1960,667070000
42,CIV,Cote d'Ivoire,1960,3503559
43,CMR,Cameroon,1960,5176920
44,COD,"Congo, Dem. Rep.",1960,15248256
45,COG,"Congo, Rep.",1960,1018254
46,COL,Colombia,1960,16057714
47,COM,Comoros,1960,191122
48,CPV,Cabo Verde,1960,201770
49,CRI,Costa Rica,1960,1330787
50,CSS,Caribbean small states,1960,4194711
51,CUB,Cuba,1960,7141241
52,CUW,Curacao,1960,124826
53,CYM,Cayman Islands,1960,7870
54,CYP,Cyprus,1960,572933
55,CZE,Czech Republic,1960,9602006
56,DEU,Germany,1960,72814900
57,DJI,Djibouti,1960,83634
58,DMA,Dominica,1960,60020
59,DNK,Denmark,1960,4579603
60,DOM,Dominican Republic,1960,3294222
61,DZA,Algeria,1960,11057864
62,EAP,East Asia & Pacific (excluding high income),1960,894875757
63,EAR,Early-demographic dividend,1960,980003345
64,EAS,East Asia & Pacific,1960,1041673567
65,ECA,Europe & Central Asia (excluding high income),1960,274647228
66,ECS,Europe & Central Asia,1960,666753356
67,ECU,Ecuador,1960,4543658
68,EGY,"Egypt, Arab Rep.",1960,26632891
69,EMU,Euro area,1960,265203956
70,ESP,Spain,1960,30455000
71,EST,Estonia,1960,1211537
72,ETH,Ethiopia,1960,22151284
73,EUU,European Union,1960,356906098
74,FCS,Fragile and conflict affected situations,1960,208280083
75,FIN,Finland,1960,4429634
76,FJI,Fiji,1960,393480
77,FRA,France,1960,46621688
78,FRO,Faroe Islands,1960,34624
79,FSM,"Micronesia, Fed. Sts.",1960,44510
80,GAB,Gabon,1960,500922
81,GBR,United Kingdom,1960,52400000
82,GEO,Georgia,1960,3645600
83,GHA,Ghana,1960,6635229
84,GIB,Gibraltar,1960,23420
85,GIN,Guinea,1960,3494164
86,GMB,"Gambia, The",1960,365049
87,GNB,Guinea-Bissau,1960,616140
88,GNQ,Equatorial Guinea,1960,255338
89,GRC,Greece,1960,8331725
90,GRD,Grenada,1960,89927
91,GRL,Greenland,1960,32500
92,GTM,Guatemala,1960,4128880
93,GUM,Guam,1960,66733
94,GUY,Guyana,1960,571813
95,HIC,High income,1960,759783611
96,HKG,"Hong Kong SAR, China",1960,3075605
97,HND,Honduras,1960,2038636
98,HPC,Heavily indebted poor countries (HIPC),1960,161734348
99,HRV,Croatia,1960,4140181
100,HTI,Haiti,1960,3866162
101,HUN,Hungary,1960,9983967
102,IBD,IBRD only,1960,1919643259
103,IBT,IDA & IBRD total,1960,2299245319
104,IDA,IDA total,1960,379602060
105,IDB,IDA blend,1960,120391642
106,IDN,Indonesia,1960,87751066
107,IDX,IDA only,1960,259210418
108,IMN,Isle of Man,1960,48444
109,IND,India,1960,450547675
110,IRL,Ireland,1960,2828600
111,IRN,"Iran, Islamic Rep.",1960,21906909
112,IRQ,Iraq,1960,7289753
113,ISL,Iceland,1960,175574
114,ISR,Israel,1960,2114020
115,ITA,Italy,1960,50199700
116,JAM,Jamaica,1960,1628524
117,JOR,Jordan,1960,933102
118,JPN,Japan,1960,93216000
119,KAZ,Kazakhstan,1960,9934564
120,KEN,Kenya,1960,8120082
121,KGZ,Kyrgyz Republic,1960,2172300
122,KHM,Cambodia,1960,5722372
123,KIR,Kiribati,1960,41196
124,KNA,St. Kitts and Nevis,1960,51199
125,KOR,"Korea, Rep.",1960,25012374
126,LAC,Latin America & Caribbean (excluding high income),1960,197123485
127,LAO,Lao PDR,1960,2120892
128,LBN,Lebanon,1960,1804935
129,LBR,Liberia,1960,1118655
130,LBY,Libya,1960,1448416
131,LCA,St. Lucia,1960,89698
132,LCN,Latin America & Caribbean,1960,219828794
133,LDC,Least developed countries: UN classification,1960,240518397
134,LIC,Low income,1960,137782356
135,LIE,Liechtenstein,1960,16501
136,LKA,Sri Lanka,1960,9874476
137,LMC,Lower middle income,1960,989984004
138,LMY,Low & middle income,1960,2264230620
139,LSO,Lesotho,1960,837264
140,LTE,Late-demographic dividend,1960,1096903448
141,LTU,Lithuania,1960,2778550
142,LUX,Luxembourg,1960,313970
143,LVA,Latvia,1960,2120979
144,MAC,"Macao SAR, China",1960,167795
145,MAF,St. Martin (French part),1960,3898
146,MAR,Morocco,1960,12328532
147,MCO,Monaco,1960,22461
148,MDA,Moldova,1960,2043664
149,MDG,Madagascar,1960,5099368
150,MDV,Maldives,1960,89873
151,MEA,Middle East & North Africa,1960,105203230
152,MEX,Mexico,1960,37771861
153,MHL,Marshall Islands,1960,14674
154,MIC,Middle income,1960,2126448264
155,MKD,North Macedonia,1960,1488670
156,MLI,Mali,1960,5263727
157,MLT,Malta,1960,326550
158,MMR,Myanmar,1960,21736947
159,MNA,Middle East & North Africa (excluding high income),1960,97553136
160,MNE,Montenegro,1960,480579
161,MNG,Mongolia,1960,955514
162,MNP,Northern Mariana Islands,1960,9980
163,MOZ,Mozambique,1960,7184870
164,MRT,Mauritania,1960,850377
165,MUS,Mauritius,1960,659351
166,MWI,Malawi,1960,3659980
167,MYS,Malaysia,1960,8156342
168,NAC,North America,1960,198624409
169,NAM,Namibia,1960,634138
170,NCL,New Caledonia,1960,79000
171,NER,Niger,1960,3388774
172,NGA,Nigeria,1960,45138460
173,NIC,Nicaragua,1960,1773132
174,NLD,Netherlands,1960,11486631
175,NOR,Norway,1960,3581239
176,NPL,Nepal,1960,10105060
177,NRU,Nauru,1960,4377
178,NZL,New Zealand,1960,2371800
179,OED,OECD members,1960,809413164
180,OMN,Oman,1960,551735
181,OSS,Other small states,1960,9151857
182,PAK,Pakistan,1960,44988690
183,PAN,Panama,1960,1133005
184,PER,Peru,1960,10155011
185,PHL,Philippines,1960,26269741
186,PLW,Palau,1960,9769
187,PNG,Papua New Guinea,1960,2255858
188,POL,Poland,1960,29637450
189,PRE,Pre-demographic dividend,1960,187617086
190,PRI,Puerto Rico,1960,2358000
191,PRK,"Korea, Dem. People's Rep.",1960,11424189
192,PRT,Portugal,1960,8857716
193,PRY,Paraguay,1960,1903990
194,PSS,Pacific island small states,1960,865064
195,PST,Post-demographic dividend,1960,755229793
196,PYF,French Polynesia,1960,78080
197,QAT,Qatar,1960,47383
198,ROU,Romania,1960,18406905
199,RUS,Russian Federation,1960,119897000
200,RWA,Rwanda,1960,2935575
201,SAS,South Asia,1960,572839530
202,SAU,Saudi Arabia,1960,4086534
203,SDN,Sudan,1960,7544498
204,SEN,Senegal,1960,3206757
205,SGP,Singapore,1960,1646400
206,SLB,Solomon Islands,1960,117847
207,SLE,Sierra Leone,1960,2317638
208,SLV,El Salvador,1960,2766319
209,SMR,San Marino,1960,15440
210,SOM,Somalia,1960,2755967
211,SRB,Serbia,1960,6608000
212,SSA,Sub-Saharan Africa (excluding high income),1960,227191484
213,SSD,South Sudan,1960,2842718
214,SSF,Sub-Saharan Africa,1960,227233184
215,SST,Small states,1960,14211632
216,STP,Sao Tome and Principe,1960,64294
217,SUR,Suriname,1960,287870
218,SVK,Slovak Republic,1960,4068095
219,SVN,Slovenia,1960,1584720
220,SWE,Sweden,1960,7484656
221,SWZ,Eswatini,1960,336578
222,SXM,Sint Maarten (Dutch part),1960,2833
223,SYC,Seychelles,1960,41700
224,SYR,Syrian Arab Republic,1960,4573514
225,TCA,Turks and Caicos Islands,1960,5825
226,TCD,Chad,1960,3001604
227,TEA,East Asia & Pacific (IDA & IBRD countries),1960,883445587
228,TEC,Europe & Central Asia (IDA & IBRD countries),1960,308424859
229,TGO,Togo,1960,1580508
230,THA,Thailand,1960,27397208
231,TJK,Tajikistan,1960,2087053
232,TKM,Turkmenistan,1960,1603254
233,TLA,Latin America & the Caribbean (IDA & IBRD countries),1960,209749023
234,TLS,Timor-Leste,1960,474535
235,TMN,Middle East & North Africa (IDA & IBRD countries),1960,97553136
236,TON,Tonga,1960,61574
237,TSA,South Asia (IDA & IBRD),1960,572839530
238,TSS,Sub-Saharan Africa (IDA & IBRD countries),1960,227233184
239,TTO,Trinidad and Tobago,1960,847973
240,TUN,Tunisia,1960,4178235
241,TUR,Turkey,1960,27472339
242,TUV,Tuvalu,1960,5321
243,TZA,Tanzania,1960,10052151
244,UGA,Uganda,1960,6767092
245,UKR,Ukraine,1960,42664646
246,UMC,Upper middle income,1960,1136464260
247,URY,Uruguay,1960,2538648
248,USA,United States,1960,180671000
249,UZB,Uzbekistan,1960,8526299
250,VCT,St. Vincent and the Grenadines,1960,80970
251,VEN,"Venezuela, RB",1960,8141839
252,VGB,British Virgin Islands,1960,8053
253,VIR,Virgin Islands (U.S.),1960,32500
254,VNM,Vietnam,1960,32670048
255,VUT,Vanuatu,1960,63689
256,WLD,World,1960,3032156070
257,WSM,Samoa,1960,108627
258,XKX,Kosovo,1960,947000
259,YEM,"Yemen, Rep.",1960,5315351
260,ZAF,South Africa,1960,17099836
261,ZMB,Zambia,1960,3070780
262,ZWE,Zimbabwe,1960,3776679
263,ARU,Aruba,1961,55434
264,AFE,Africa Eastern and Southern,1961,134159786
265,AFG,Afghanistan,1961,9169406
266,AFW,Africa Western and Central,1961,98407221
